Country,Energy Usage,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
United States,Consumption (quad Btu),78.02111311,76.05718694,73.04618866,72.91539428,76.5706968,76.3341345,76.59888807,79.00820267,82.65916904,84.73999296,84.4328603,84.38030008,85.72488506,87.26588762,88.98323406,90.93070401,93.93451089,94.50699934,94.92018984,96.54452444,98.70222416,96.06373375,97.53539089,97.83477319,100.0023681,100.1015762,99.39154056,100.8933632,98.75371116,93.94221562,97.51298596,96.87012067,94.38322535,97.12513822,98.28804086,97.39208908,97.36334079,97.6337394,101.2034128,100.4340679
United States,Coal (quad Btu),15.42280949,15.90752642,15.3215813,15.8944418,17.07062199,17.47842765,17.26040504,18.00845072,18.84631244,19.06976249,19.17263495,18.99167012,19.12247128,19.8351478,19.90946262,20.08872684,21.00191449,21.445411,21.6557439,21.62254371,22.57952806,21.91426829,21.9039893,22.32092797,22.46619457,22.7965427,22.44716005,22.74946629,22.38743736,19.69120544,20.83396756,19.65778407,17.378234,18.03863314,17.99763202,15.54887019,14.22590456,13.83746526,13.25153239,11.31559469
United States,Natural gas (quad Btu),20.2354591,19.74730967,18.35622215,17.22083607,18.39361252,17.70348219,16.59136414,17.63980088,18.44839265,19.60160567,19.60326685,20.0329575,20.71363202,21.2289997,21.72806683,22.67113874,23.08464704,23.22271633,22.83022619,22.90922744,23.82397678,22.77255777,23.51008092,22.83064221,22.92306137,22.565364,22.23873772,23.66275901,23.84295333,23.41593999,24.57475399,24.95453854,26.08858161,26.80513443,27.38283255,28.19109483,28.40035185,28.05509257,31.1534215,32.252007
United States,Petroleum and other liquids (quad Btu),34.15896514,31.89066586,30.19836376,30.03229172,31.03553612,30.91884946,32.2105668,32.88696668,34.24328623,34.23545404,33.56336351,32.8626168,33.55124763,33.68525793,34.5627955,34.45844019,35.67307994,36.17167498,36.83754386,37.85455838,38.29187778,38.23269265,38.29542878,38.94853228,40.44410664,40.57256119,40.22892495,39.99704662,37.62981661,35.75674743,36.44421786,35.84541434,35.03968967,35.70041911,35.97782821,36.74025837,37.19418081,37.52287056,38.35461682,38.32938588
United States,"Nuclear, renewables, and other (quad Btu)",8.203879377,8.51168498,9.170021451,9.767824691,10.07092618,10.23337521,10.53655209,10.47298439,11.12117773,11.83317077,12.09359499,12.49305566,12.33753413,12.51648219,12.78290911,13.71239824,14.17486942,13.66719703,13.59667589,14.15819492,14.00684156,13.14421503,13.82589188,13.73467074,14.16900551,14.16710827,14.47671785,14.48409123,14.89350387,15.07832277,15.66004656,16.41238371,15.87672007,16.58095154,16.92974808,16.91186569,17.54290356,18.21831101,18.44384206,18.53708038
United States,Nuclear (quad Btu),2.739168687,3.007588734,3.131148173,3.202548979,3.552530566,4.0755629,4.380108667,4.753933331,5.586968249,5.602160969,6.104350276,6.422132372,6.479206249,6.410498911,6.693877124,7.075436106,7.086673918,6.59699193,7.067808773,7.610255595,7.862349471,8.028853134,8.145429196,7.959622147,8.222774019,8.160809705,8.214626466,8.458589234,8.426490562,8.355220104,8.434432677,8.268698496,8.061822158,8.244433126,8.337559005,8.336886237,8.426753002,8.418968232,8.438068207,8.451851513
United States,Renewables and other (quad Btu),5.46471069,5.504096246,6.038873278,6.565275712,6.518395617,6.157812308,6.156443423,5.719051057,5.534209478,6.2310098,5.989244713,6.07092329,5.858327884,6.105983277,6.089031985,6.636962134,7.088195501,7.070205104,6.528867113,6.547939321,6.144492085,5.115361898,5.680462686,5.775048591,5.946231495,6.006298564,6.262091379,6.025502,6.467013304,6.723102661,7.225613883,8.143685217,7.814897912,8.336518417,8.592189072,8.574979457,9.116150562,9.799342782,10.00577385,10.08522887
Canada,Consumption (quad Btu),9.548965109,9.423931567,9.0388544,9.005080823,9.525573648,9.889329394,10.00606357,10.32830665,10.77728195,10.89664522,10.64386409,10.76056789,11.1073489,11.36479818,11.71288682,11.87180623,12.22322259,12.23181425,11.85267746,12.48010483,12.52687718,12.57765771,12.92339446,13.27726106,13.57433997,13.72510866,13.81675614,13.76767716,13.53821584,13.29904665,13.79138178,14.15016747,14.31835144,14.73847968,14.7980538,14.74431438,14.6270662,14.97375231,15.16550975,14.97497992
Canada,Coal (quad Btu),0.785588892,0.799730738,0.866272299,0.914105263,1.000513519,0.960420153,0.890309178,1.012443035,1.097762018,1.06407345,0.975913365,0.986756693,1.053183049,0.978663809,1.016448162,1.014750422,1.042644895,1.111029104,1.093120123,1.073204877,1.176038247,1.172152306,1.155890121,1.165763411,1.181427873,1.187725252,1.164516137,1.15277185,1.122086345,0.941146182,0.950776295,0.894573421,0.819152036,0.773400677,0.751454256,0.743018977,0.706732507,0.700560309,0.581121735,0.539537398
Canada,Natural gas (quad Btu),1.915011,1.864104,1.901757,1.90026,2.055323,2.20397,2.15982,2.14368,2.370627,2.460978,2.41090668,2.4364872,2.63981673,2.736457155,2.83340565,2.93280208,2.984291073,2.953655169,2.864653353,3.179016924,3.051184217,3.190093509,3.24322083,3.457259041,3.424499964,3.228985,3.391436402,3.135923972,3.016451561,3.208064394,3.552594711,3.680321941,3.864857492,4.115150439,4.275888143,4.251207033,4.071426084,4.352609719,4.624980424,4.611305027
Canada,Petroleum and other liquids (quad Btu),3.896123436,3.658928995,3.253608905,2.97229282,3.042406885,3.037175182,3.048982856,3.184137221,3.33580465,3.482987514,3.363262733,3.238747029,3.32969213,3.358858422,3.416218391,3.497908759,3.623082719,3.780972063,3.791929032,3.947859244,3.925619182,3.952750956,4.155398319,4.385637081,4.554715478,4.718516183,4.700911316,4.879953265,4.70621063,4.577587334,4.801996547,4.852845607,4.954982195,4.903361803,4.853165921,4.958156188,5.015402839,4.994161406,5.1080135,5.084958302
Canada,"Nuclear, renewables, and other (quad Btu)",2.952241781,3.101167835,3.017216196,3.21842274,3.427330243,3.687764059,3.906951539,3.988046391,3.973088279,3.888606261,3.893781314,4.098576968,4.084656988,4.290818793,4.446814618,4.426344966,4.5732039,4.386157914,4.102974949,4.280023787,4.37403553,4.26266094,4.368885195,4.268601529,4.413696658,4.589882226,4.559892281,4.599028072,4.6934673,4.572248738,4.486014231,4.722426505,4.679359713,4.946566765,4.91754548,4.791932178,4.833504775,4.926420872,4.851394091,4.73917919
Canada,Nuclear (quad Btu),0.41592096,0.438166008,0.419259456,0.53564358,0.569732585,0.65944725,0.77654115,0.8418564,0.9029328,0.87030405,0.794759676,0.926079474,0.87574344,1.024772832,1.165380192,1.054446466,0.999734407,0.881226281,0.763517048,0.78697433,0.779568547,0.821264119,0.80877461,0.801977522,0.9679144,0.978769452,1.04354818,0.995647201,0.996843878,0.961056439,0.965256101,0.997058377,1.006998771,1.096450701,1.114731584,1.081364715,1.081513854,1.075645649,1.074580533,1.072511357
Canada,Renewables and other (quad Btu),2.536320821,2.663001827,2.59795674,2.68277916,2.857597658,3.028316809,3.130410389,3.146189991,3.070155479,3.018302211,3.099021638,3.172497494,3.208913548,3.266045961,3.281434426,3.3718985,3.573469493,3.504931632,3.3394579,3.493049457,3.594466983,3.441396821,3.560110585,3.466624007,3.445782258,3.611112774,3.516344101,3.603380871,3.696623422,3.611192299,3.52075813,3.725368127,3.672360942,3.850116065,3.802813896,3.710567464,3.751990921,3.850775222,3.776813558,3.666667832
Mexico,Consumption (quad Btu),3.801224373,4.203000197,4.442704101,4.182654406,4.213411815,4.453974866,4.401642446,4.513598038,4.60108981,4.85239916,4.719881666,5.055202024,5.106262997,5.395674218,5.748159657,5.582144382,5.712010311,5.807374465,6.224994066,6.227307536,6.488298735,6.467265827,6.479846997,6.703134151,6.870948314,7.090697724,7.39225705,7.518730295,7.604817935,7.550686818,7.530859039,7.73848083,7.708254229,7.786554957,7.682433692,7.804190734,7.973903263,7.960064777,7.905260072,7.984687978
Mexico,Coal (quad Btu),0.088556325,0.078430665,0.093431144,0.107056502,0.106333979,0.114127198,0.127087743,0.122640476,0.115233765,0.124553144,0.155669276,0.154718457,0.150830423,0.172028384,0.203002135,0.229257946,0.244326634,0.258889746,0.274043075,0.284145546,0.281825851,0.327335655,0.367486334,0.447298779,0.383077359,0.493076403,0.527904012,0.478096774,0.422626189,0.438326157,0.539874291,0.59265149,0.527340007,0.537472337,0.516109708,0.56117679,0.499536498,0.518771153,0.43680597,0.416172748
Mexico,Natural gas (quad Btu),0.843744,0.910845,0.992036,0.99414,0.99803,1.04049,0.92488,0.938543,0.952816,0.92505,1.01898,1.091857572,1.100451774,1.175401505,1.223542384,1.23199457,1.303024335,1.325354999,1.512220154,1.452299251,1.545859387,1.591412029,1.791921805,1.984741705,2.032408762,1.998115496,2.25420986,2.33925098,2.401444297,2.60386518,2.349203019,2.414286583,2.510130826,2.620203332,2.550020102,2.736557814,2.844381592,2.861173018,2.911885193,3.019190829
Mexico,Petroleum and other liquids (quad Btu),2.680407222,2.943691055,3.101897385,2.8500952,2.848456623,3.007957802,3.104555664,3.218602161,3.271091156,3.496651758,3.222764638,3.472428478,3.46665569,3.631873456,3.981085897,3.662284291,3.678972257,3.763416848,4.004526312,3.979230928,4.149490469,4.078241553,3.883876389,3.871577113,4.016049126,4.112805534,4.110647872,4.231634983,4.219279439,4.068107591,4.134500305,4.195109301,4.168877508,4.128185883,4.010070968,3.936013626,4.049421792,3.966391048,3.781046756,3.794167846
Mexico,"Nuclear, renewables, and other (quad Btu)",0.188516826,0.270033477,0.255339572,0.231362703,0.260591213,0.291399866,0.245119039,0.233812401,0.261948888,0.306144258,0.322467752,0.336197517,0.38832511,0.416370872,0.340529242,0.458607576,0.485687084,0.459712872,0.434204525,0.511631811,0.511123029,0.47027659,0.436562469,0.399516555,0.439413066,0.486700292,0.499495306,0.469747558,0.561468011,0.44038789,0.507281423,0.536433456,0.501905888,0.500693405,0.606232914,0.570442505,0.580563381,0.613729557,0.775522152,0.755156554
Mexico,Nuclear (quad Btu),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02872305,0.04056195,0.037471995,0.0471476,0.040531755,0.080731365,0.07532646,0.100015905,0.088572,0.09563763,0.07860765,0.08343885,0.0932019,0.100398375,0.08790771,0.10385067,0.104676,0.100116555,0.094198335,0.10173702,0.05628348,0.093735345,0.08466678,0.114511015,0.09372528,0.112577025,0.10338768,0.106406375,0.132858,0.109517265
Mexico,Renewables and other (quad Btu),0.188516826,0.270033477,0.255339572,0.231362703,0.260591213,0.291399866,0.245119039,0.233812401,0.261948888,0.306144258,0.293744702,0.295635567,0.350853115,0.369223272,0.299997487,0.377876211,0.410360624,0.359696967,0.345632525,0.415994181,0.432515379,0.38683774,0.343360569,0.29911818,0.351505356,0.382849622,0.394819306,0.369631003,0.467269676,0.33865087,0.450997943,0.442698111,0.417239108,0.38618239,0.512507634,0.45786548,0.477175701,0.507323182,0.642664152,0.645639289
